編號,韓文,羅馬拼音,中文,英文,漢語拼音,IPA音標,類別,詞性
1,애칭,aeching,愛稱,Hanja word: 愛稱 (àichēng),àichēng,ɛ.ʨʰiŋ.,Hanja,名詞
2,애도,aedo,哀悼,Hanja word: 哀悼 (āidào),āidào,ɛ.do.,Hanja,名詞
3,애무,aemu,愛撫,Hanja word: 愛撫 (àifǔ),àifǔ,ɛ.mu.,Hanja,名詞
4,애가,aega,哀歌,Hanja word: 哀歌 (āigē),āigē,ɛ.ɡa.,Hanja,名詞
5,애고,aego,愛顧,Hanja word: 愛顧 (àigù),àigù,ɛ.ɡo.,Hanja,名詞
6,애국자,aegukja,愛國者,Hanja word: 愛國者 (àiguózhě),àiguózhě,ɛ.ɡuk̚.ʨ͈a.,Hanja,名詞
7,애호,aeho,愛好,Hanja word: 愛好 (àihào),àihào,ɛ.ɦo.,Hanja,名詞
8,애로,aero,隘路,Hanja word: 隘路 (àilù),àilù,ɛ.ɾo.,Hanja,名詞
9,애모,aemo,愛慕,Hanja word: 愛慕 (àimù),àimù,ɛ.mo.,Hanja,名詞
10,애정,aejeong,愛情,"Love for a person, affection",àiqíng,ɛ.ʥʌŋ.,Hanja,名詞
11,애인,aein,愛人,A lover,àirén,ɛ.in.,Hanja,名詞
12,애원,aewon,哀願,Hanja word: 哀願 (āiyuàn),āiyuàn,ɛ.u̯ʌn.,Hanja,名詞
13,애착,aechak,愛着,Hanja word: 愛着 (àizhe·),àizhe·,ɛ.ʨʰak̚.,Hanja,名詞
14,안정,anjeong,安定,Stability,āndìng,an.ʥʌŋ.,Hanja,名詞
15,안동,andong,安東,"간고등어 fish common in this city, ANDONG",āndōng,an.doŋ.,Hanja,專有名詞
16,안부,anbu,安否,"safety,welfare",ānfǒu,am.bu.,Hanja,名詞
17,암호,amho,暗號,Hanja word: 暗號 (ànhào),ànhào,am.ho.,Hanja,名詞
18,암초,amcho,暗礁,Hanja word: 暗礁 (ànjīao),ànjīao,am.ʨʰo.,Hanja,名詞
19,안정,anjeong,安靜,Stability,ānjìng,an.ʥʌŋ.,Hanja,名詞
20,안주,anju,按酒,Appetizers for alcohol,ànjiǔ,an.ʥu.,Hanja,名詞
21,안락,anrak,安樂,Hanja word: 安樂 (ānlè),ānlè,al.lak̚.,Hanja,名詞
22,암류,amryu,暗流,Hanja word: 暗流 (ànliú),ànliú,am.nju.,Hanja,名詞
23,안마,anma,按摩,Hanja word: 按摩 (ànmó),ànmó,am.ma.,Hanja,名詞
24,안내,annae,案內,"Guidance, conducting",ànnèi,an.nɛ.,Hanja,名詞
25,안녕,annyeong,安寧,hello/goodbye,ānníng,an.njʌŋ.,Hanja,名詞
26,암거,amgeo,暗渠,Hanja word: 暗渠 (ànqú),ànqú,am.ɡʌ.,Hanja,名詞
27,안전,anjeon,安全,Safety,ānquán,an.ʥʌn.,Hanja,名詞
28,안전벨트,anjeonbelteu,安全belt,Hanja word: 安全belt (ānquánbelt),ānquánbelt,an.ʥʌm.bel.tʰɯ.,Hanja,名詞
29,암살,amsal,暗殺,Hanja word: 暗殺 (ànshā),ànshā,am.sal.,Hanja,名詞
30,암살자,amsalja,暗殺者,Hanja word: 暗殺者 (ànshāzhě),ànshāzhě,am.sal.ʨ͈a.,Hanja,名詞
